Date,Open,High,Low,Close
1984-01-08,0.0098,0.0098,0.0098,0.0098
1984-01-15,0.0099,0.0099,0.0099,0.0099
1984-01-22,0.0099,0.0099,0.0099,0.0099
1984-01-29,0.0099,0.0099,0.0099,0.0099
1984-02-05,0.0099,0.0099,0.0099,0.0099
1984-02-12,0.0099,0.0099,0.0099,0.0099
1984-02-19,0.0099,0.0099,0.0099,0.0099
1984-02-26,0.0098,0.0098,0.0098,0.0098
1984-03-04,0.011,0.011,0.011,0.011
1984-03-11,0.0109,0.0109,0.0109,0.0109
1984-03-18,0.0108,0.0108,0.0108,0.0108
1984-03-25,0.0108,0.0108,0.0108,0.0108
1984-04-01,0.0109,0.0109,0.0109,0.0109
1984-04-08,0.0109,0.0109,0.0109,0.0109
1984-04-15,0.0109,0.0109,0.0109,0.0109
1984-04-22,0.0109,0.0109,0.0109,0.0109
1984-04-29,0.011,0.011,0.011,0.011
1984-05-06,0.011,0.011,0.011,0.011
1984-05-13,0.0111,0.0111,0.0111,0.0111
1984-05-20,0.0111,0.0111,0.0111,0.0111
1984-05-27,0.0111,0.0111,0.0111,0.0111
1984-06-03,0.0111,0.0111,0.0111,0.0111
1984-06-10,0.0111,0.0111,0.0111,0.0111
1984-06-17,0.011,0.011,0.011,0.011
1984-06-24,0.0111,0.0111,0.0111,0.0111
1984-07-01,0.0111,0.0111,0.0111,0.0111
1984-07-08,0.0112,0.0112,0.0112,0.0112
1984-07-15,0.0112,0.0112,0.0112,0.0112
1984-07-22,0.0112,0.0112,0.0112,0.0112
1984-07-29,0.0113,0.0113,0.0113,0.0113
1984-08-05,0.0113,0.0113,0.0113,0.0113
1984-08-12,0.0113,0.0113,0.0113,0.0113
1984-08-19,0.0113,0.0113,0.0113,0.0113
1984-08-26,0.0113,0.0113,0.0113,0.0113
1984-08-31,0.0113,0.0123,0.0113,0.0123
1984-09-16,0.0124,0.0124,0.0124,0.0124
1984-09-23,0.0125,0.0125,0.0125,0.0125
1984-09-30,0.0126,0.0126,0.0126,0.0126
1984-10-07,0.0126,0.0126,0.0126,0.0126
1984-10-14,0.0125,0.0125,0.0125,0.0125
1984-10-21,0.0126,0.0126,0.0126,0.0126
1984-10-28,0.0127,0.0127,0.0127,0.0127
1984-11-04,0.0126,0.0126,0.0126,0.0126
1984-11-11,0.0126,0.0126,0.0126,0.0126
1984-11-18,0.0124,0.0124,0.0124,0.0124
1984-11-25,0.0124,0.0124,0.0124,0.0124
1984-11-30,0.0125,0.0126,0.0125,0.0126
1984-12-16,0.0126,0.0126,0.0126,0.0126
1984-12-23,0.0126,0.0126,0.0126,0.0126
1984-12-30,0.0126,0.0126,0.0126,0.0126
1985-01-06,0.0138,0.0138,0.0138,0.0138
1985-01-13,0.0139,0.0139,0.0139,0.0139
1985-01-20,0.0138,0.0138,0.0138,0.0138
1985-01-27,0.0139,0.0139,0.0139,0.0139
1985-02-03,0.0139,0.0139,0.0139,0.0139
1985-02-10,0.0139,0.0139,0.0139,0.0139
