Date,Open,High,Low,Close
1984-03-31,0.0098,0.011,0.0098,0.0109
1984-06-30,0.0109,0.0111,0.0109,0.0111
1984-09-30,0.0112,0.0126,0.0112,0.0126
1984-12-31,0.0126,0.0127,0.0124,0.0126
1985-03-31,0.0138,0.0143,0.0138,0.0138
1985-06-30,0.0138,0.0159,0.0136,0.0158
1985-09-30,0.0158,0.0158,0.0152,0.0152
1985-12-31,0.0151,0.0151,0.0148,0.0148
1986-03-31,0.0148,0.017,0.0147,0.0166
1986-06-30,0.0167,0.0169,0.0164,0.0165
1986-09-30,0.0164,0.02,0.0161,0.02
1986-12-31,0.02,0.0201,0.0198,0.0198
1987-03-31,0.0197,0.0241,0.0193,0.0239
1987-06-30,0.0244,0.0263,0.0243,0.0263
1987-09-30,0.0262,0.0296,0.0262,0.0296
1987-12-31,0.0297,0.032,0.0296,0.0316
1988-03-31,0.0314,0.04,0.0314,0.04
1988-06-30,0.0397,0.044,0.0397,0.044
1988-09-30,0.0445,0.048,0.0445,0.048
1988-12-31,0.0482,0.0503,0.0478,0.0503
1989-03-31,0.0503,0.0573,0.0501,0.0573
1989-06-30,0.06,0.0851,0.06,0.0845
1989-09-30,0.0842,0.18,0.0829,0.18
1989-12-31,0.1799,0.65,0.1791,0.65
1990-03-31,0.95,0.95,0.95,0.95
1990-06-30,0.95,0.95,0.95,0.95
1990-09-30,0.95,0.95,0.95,0.95
1990-12-31,0.95,0.95,0.95,0.95
1991-03-31,0.95,0.95,0.95,0.95
1991-06-30,0.95,1.1543,0.95,1.1458
1991-09-30,1.1523,1.1606,1.1041,1.1096
1991-12-31,1.1017,1.1324,1.0923,1.0957
1992-03-31,1.0962,1.3559,1.0962,1.3497
1992-06-30,1.3493,1.3827,1.3463,1.3512
1992-09-30,1.3563,1.4335,1.3364,1.3909
1992-12-31,1.3833,1.5783,1.3833,1.5767
1993-03-31,1.5778,1.6734,1.5778,1.6625
1993-06-30,1.6554,1.7816,1.6437,1.7778
1993-09-30,1.7718,1.9952,1.7718,1.9736
1993-12-31,1.9814,2.1345,1.9786,2.1345
1994-03-31,2.1413,2.2119,2.1413,2.2119
1994-06-30,2.208,2.2831,2.208,2.2452
1994-09-30,2.2558,2.3218,2.2217,2.3218
1994-12-31,2.3229,2.4492,2.2983,2.4372
1995-03-31,2.4375,2.4565,2.32,2.354
1995-06-30,2.347,2.477,2.315,2.3405
1995-09-30,2.3425,2.496,2.338,2.431
1995-12-31,2.441,2.54,2.421,2.464
1996-03-31,2.4685,2.593,2.464,2.5849
1996-06-30,2.5875,2.75,2.5799,2.718
1996-09-30,2.72,2.8105,2.687,2.805
1996-12-31,2.8052,2.8795,2.7925,2.8669
1997-03-31,2.865,3.093,2.859,3.074
1997-06-30,3.068,3.29,3.06,3.285
1997-09-30,3.288,3.56,3.26,3.415
1997-12-31,3.412,3.57,3.382,3.52
1998-03-31,3.515,3.58,3.4,3.449
1998-06-30,3.448,3.569,3.355,3.4845
1998-09-30,3.4785,3.86,3.4005,3.57
1998-12-31,3.575,3.615,3.3473,3.505
1999-03-31,3.49,4.033,3.4,3.99
1999-06-30,3.99,4.06,3.869,3.91
1999-09-30,3.911,4.195,3.78,4.0972
1999-12-31,4.09,4.38,4.025,4.13
2000-03-31,4.11,4.265,4.006,4.127
2000-06-30,4.127,4.73,4.058,4.35
2000-09-30,4.36,4.637,4.2485,4.525
2000-12-31,4.525,4.732,4.11,4.128
2001-03-31,4.12,4.173,3.942,4.0903
2001-06-30,4.0889,4.1072,3.9235,4.0069
2001-09-30,4.0074,4.5427,3.9799,4.2283
2001-12-31,4.2306,4.2354,3.9439,3.9623
2002-03-31,3.9635,4.2856,3.8992,4.1183
2002-06-30,4.1183,4.1342,3.9521,4.0537
2002-09-30,4.0566,4.2315,4.0021,4.1466
2002-12-31,4.1242,4.1871,3.8185,3.828
2003-03-31,3.8275,4.1193,3.782,4.1005
2003-06-30,4.108,4.1105,3.6613,3.8988
2003-09-30,3.8935,4.0701,3.8085,3.9468
2003-12-31,3.9353,4.0555,3.72,3.7253
2004-03-31,3.74,3.993,3.6415,3.8645
2004-06-30,3.8637,4.0669,3.689,3.6945
2004-09-30,3.6977,3.729,3.4915,3.5091
2004-12-31,3.5093,3.5365,2.9674,2.9994
2005-03-31,3.0155,3.2561,2.9006,3.1445
2005-06-30,3.1491,3.4063,3.1115,3.3431
2005-09-30,3.351,3.4533,3.1122,3.2369
2005-12-31,3.2698,3.4505,3.1745,3.2447
2006-03-31,3.2478,3.3102,3.091,3.2352
2006-06-30,3.2543,3.2999,2.9824,3.1906
2006-09-30,3.1827,3.2302,2.9856,3.1276
2006-12-31,3.1351,3.1353,2.8519,2.9018
2007-03-31,2.8854,3.0528,2.8752,2.8854
2007-06-30,2.891,2.8984,2.7456,2.7852
2007-09-30,2.7802,2.878,2.6474,2.6495
2007-12-31,2.642,2.6804,2.4195,2.4465
2008-03-31,2.4515,2.5544,2.2135,2.2266
2008-06-30,2.2434,2.2519,2.118,2.1293
2008-09-30,2.126,2.4736,2.0186,2.4161
2008-12-31,2.4063,3.1487,2.3835,2.9383
2009-03-31,2.9793,3.913,2.8572,3.5139
2009-06-30,3.5248,3.5355,3.0984,3.172
2009-09-30,3.1676,3.2063,2.7734,2.8691
2009-12-31,2.8923,2.9558,2.6992,2.8602
2010-03-31,2.8704,3.0216,2.7723,2.8492
2010-06-30,2.851,3.522,2.822,3.3697
2010-09-30,3.3997,3.4084,2.9042,2.9136
2010-12-31,2.9007,3.139,2.7261,2.9579
2011-03-31,2.9757,3.0367,2.8104,2.8386
2011-06-30,2.8368,2.8703,2.6319,2.742
2011-09-30,2.734,3.3666,2.7078,3.2852
2011-12-31,3.3321,3.5245,3.0237,3.4443
2012-03-31,3.4354,3.5355,3.0494,3.104
2012-06-30,3.1052,3.6009,3.0896,3.3345
2012-09-30,3.3457,3.5016,3.086,3.1938
2012-12-31,3.2069,3.3077,3.06,3.0935
2013-03-31,3.0648,3.2811,3.0369,3.2566
2013-06-30,3.2498,3.3473,3.1096,3.3291
2013-09-30,3.3139,3.3831,3.0609,3.119
2013-12-31,3.119,3.1517,2.9859,3.018
2014-03-31,3.0143,3.157,3.0036,3.02
2014-06-30,3.02,3.0728,2.9933,3.0328
2014-09-30,3.0332,3.3209,3.0188,3.3059
2014-12-31,3.3059,3.6086,3.2627,3.5412
2015-03-31,3.5433,3.9664,3.537,3.79365
2015-06-30,3.7937,3.826,3.5266,3.76151
2015-09-30,3.7614,3.8563,3.6296,3.80065
2015-12-31,3.8007,4.0586,3.6777,3.92555
2016-03-31,3.93198,4.15579,3.71794,3.72815
2016-06-30,3.72814,4.12774,3.70513,3.93833
2016-09-30,3.93833,4.03365,3.76925,3.82375
2016-12-31,3.82269,4.2792,3.81551,4.18547
2017-03-31,4.19469,4.24217,3.89242,3.96555
2017-06-30,3.9724,4.0113,3.69615,3.7054
2017-09-30,3.7059,3.75646,3.5132,3.64897
2017-12-31,3.65075,3.6952,3.47105,3.48035
2018-03-31,3.47615,3.5155,3.3076,3.42045
2018-06-30,3.418,3.7839,3.34654,3.74564
2018-09-30,3.74386,3.84081,3.62114,3.6865
2018-12-31,3.68534,3.8411,3.67929,3.74105
2019-03-31,3.74041,3.85962,3.70769,3.83745
2019-06-30,3.8311,3.87732,3.7264,3.7336
2019-09-30,3.73395,4.0226,3.73212,4.01056
2019-12-31,4.01081,4.0246,3.78555,3.7938
2020-03-31,3.79557,4.30796,3.75672,4.13216
2020-06-30,4.13325,4.25195,3.8881,3.95887
2020-09-30,3.95874,3.98706,3.65609,3.86325
2020-12-31,3.86325,3.97163,3.61702,3.7346
2021-03-31,3.72685,3.9831,3.6522,3.94988
2021-06-30,3.9499,3.95562,3.64016,3.81105
2021-09-30,3.81105,4.0164,3.78143,3.98072
2021-12-31,3.98073,4.20125,3.91915,4.0341
2022-03-31,4.03605,4.6203,3.913,4.1994
2022-06-30,4.19895,4.54475,4.1911,4.48525
2022-09-30,4.48525,5.06062,4.48155,4.9573
2022-12-31,4.94525,5.0411,4.3546,4.38031
2023-03-31,4.38063,4.50146,4.26345,4.31426
2023-06-30,4.31266,4.3425,4.10525,4.16415
