Date,Open,High,Low,Close
1984-12-31,0.0098,0.0127,0.0098,0.0126
1985-12-31,0.0138,0.0159,0.0136,0.0148
1986-12-31,0.0148,0.0201,0.0147,0.0198
1987-12-31,0.0197,0.032,0.0193,0.0316
1988-12-31,0.0314,0.0503,0.0314,0.0503
1989-12-31,0.0503,0.65,0.0501,0.65
1990-12-31,0.95,0.95,0.95,0.95
1991-12-31,0.95,1.1606,0.95,1.0957
1992-12-31,1.0962,1.5783,1.0962,1.5767
1993-12-31,1.5778,2.1345,1.5778,2.1345
1994-12-31,2.1413,2.4492,2.1413,2.4372
1995-12-31,2.4375,2.54,2.315,2.464
1996-12-31,2.4685,2.8795,2.464,2.8669
1997-12-31,2.865,3.57,2.859,3.52
1998-12-31,3.515,3.86,3.3473,3.505
1999-12-31,3.49,4.38,3.4,4.13
2000-12-31,4.11,4.732,4.006,4.128
2001-12-31,4.12,4.5427,3.9235,3.9623
2002-12-31,3.9635,4.2856,3.8185,3.828
2003-12-31,3.8275,4.1193,3.6613,3.7253
2004-12-31,3.74,4.0669,2.9674,2.9994
2005-12-31,3.0155,3.4533,2.9006,3.2447
2006-12-31,3.2478,3.3102,2.8519,2.9018
2007-12-31,2.8854,3.0528,2.4195,2.4465
2008-12-31,2.4515,3.1487,2.0186,2.9383
2009-12-31,2.9793,3.913,2.6992,2.8602
2010-12-31,2.8704,3.522,2.7261,2.9579
2011-12-31,2.9757,3.5245,2.6319,3.4443
2012-12-31,3.4354,3.6009,3.0494,3.0935
2013-12-31,3.0648,3.3831,2.9859,3.018
2014-12-31,3.0143,3.6086,2.9933,3.5412
2015-12-31,3.5433,4.0586,3.5266,3.92555
2016-12-31,3.93198,4.2792,3.70513,4.18547
2017-12-31,4.19469,4.24217,3.47105,3.48035
2018-12-31,3.47615,3.8411,3.3076,3.74105
2019-12-31,3.74041,4.0246,3.70769,3.7938
2020-12-31,3.79557,4.30796,3.61702,3.7346
2021-12-31,3.72685,4.20125,3.64016,4.0341
2022-12-31,4.03605,5.06062,3.913,4.38031
2023-12-31,4.38063,4.50146,4.10525,4.16415
